Dataset,Disease,Tissue,Cell_type,CpG,Direction
GSE157341,Liver Cancer,liver,Hep,cg11846816,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11911286,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11949060,Hyper
GSE157341,Liver Cancer,liver,Hep,cg11996592,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12024050,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12095397,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12140000,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12193277,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12338137,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12353788,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12362629,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12403329,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12481266,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12549411,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12549573,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12564962,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12573502,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12581970,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12610078,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12633739,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12651286,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12658495,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12659287,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12692386,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12759420,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12789935,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12833018,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12880300,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12887128,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12911095,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12914100,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12961733,Hyper
GSE157341,Liver Cancer,liver,Hep,cg12998785,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13222081,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13231302,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13307451,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13327545,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13549497,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13564055,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13600716,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13679216,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13738327,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13762244,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13770573,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13781149,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13803234,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13850871,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13920336,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13920838,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13963807,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13978777,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13982366,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13986355,Hyper
GSE157341,Liver Cancer,liver,Hep,cg13987862,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14014225,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14022794,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14052221,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14129589,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14131555,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14207921,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14232358,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14239592,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14290616,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14334350,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14344989,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14349144,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14354168,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14360448,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14550289,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14685095,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14694342,Hyper
GSE157341,Liver Cancer,liver,Hep,cg14988680,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15110800,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15120497,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15152201,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15225532,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15229454,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15291740,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15433043,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15506894,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15551881,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15555527,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15619820,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15708405,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15787544,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15821544,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15847996,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15959893,Hyper
GSE157341,Liver Cancer,liver,Hep,cg15992935,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16096631,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16208395,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16222581,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16233074,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16245868,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16362587,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16515546,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16521606,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16547027,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16594806,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16612876,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16616467,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16616769,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16663900,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16732787,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16791218,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16893707,Hyper
GSE157341,Liver Cancer,liver,Hep,cg16955074,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17052926,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17112975,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17165695,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17187167,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17196739,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17196805,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17250863,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17279079,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17305275,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17335494,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17347178,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17365725,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17629264,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17760049,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17830515,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17923316,Hyper
GSE157341,Liver Cancer,liver,Hep,cg17962547,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18015301,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18086520,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18100153,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18110520,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18119192,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18152871,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18247055,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18254356,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18299793,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18315708,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18405544,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18442524,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18693051,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18708598,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18809706,Hyper
GSE157341,Liver Cancer,liver,Hep,cg18917486,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19021188,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19022697,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19101566,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19172575,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19216285,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19216563,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19249516,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19265913,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19350133,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19389370,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19619576,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19742686,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19768125,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19821713,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19883472,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19895185,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19904058,Hyper
GSE157341,Liver Cancer,liver,Hep,cg19978242,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20029745,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20097268,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20227471,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20256567,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20282429,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20319698,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20322977,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20325850,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20417180,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20703564,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20726282,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20785796,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20874785,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20936920,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20950033,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20957755,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20962746,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20981402,Hyper
GSE157341,Liver Cancer,liver,Hep,cg20998885,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21027282,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21169779,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21229079,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21239001,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21258821,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21268422,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21332304,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21457147,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21496519,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21575634,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21667943,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21671277,Hyper
GSE157341,Liver Cancer,liver,Hep,cg21811204,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22037648,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22049858,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22050611,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22111705,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22191741,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22220467,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22257786,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22303418,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22487322,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22512256,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22550549,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22591040,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22720392,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22732253,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22821574,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22873167,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22973172,Hyper
GSE157341,Liver Cancer,liver,Hep,cg22977072,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23044391,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23045594,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23131909,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23142004,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23143603,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23288725,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23344136,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23347911,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23362554,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23371436,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23457268,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23465685,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23625715,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23711166,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23731992,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23737737,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23757721,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23761936,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23932332,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23934633,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23962746,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23971987,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23990624,Hyper
GSE157341,Liver Cancer,liver,Hep,cg23994043,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24023606,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24035898,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24186398,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24367840,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24405068,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24430201,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24555591,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24629941,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24691330,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24700485,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24707023,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24708988,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24815973,Hyper
GSE157341,Liver Cancer,liver,Hep,cg24850121,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25026125,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25045785,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25048816,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25083618,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25142228,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25214561,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25216538,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25358410,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25372722,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25397636,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25403283,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25461801,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25509732,Hyper
GSE157341,Liver Cancer,liver,Hep,cg25754852,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26099837,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26138776,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26231272,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26234876,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26320219,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26472511,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26472690,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26541649,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26568031,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26689934,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26697477,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26698460,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26812169,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26833667,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26858540,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26877336,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26878836,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26884320,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26923490,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26949037,Hyper
GSE157341,Liver Cancer,liver,Hep,cg26979299,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27055601,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27095915,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27142825,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27221338,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27222172,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27226153,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27258272,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27272402,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27393726,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27410595,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27445278,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27475923,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27478313,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27517823,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27549186,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27561786,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27568165,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27607438,Hyper
GSE157341,Liver Cancer,liver,Hep,cg27618305,Hyper
GSE157341,Liver Cancer,liver,Hep,cg00023808,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00051662,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00114012,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00145489,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00225067,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00261162,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00371107,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00419564,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00423364,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00432454,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00471989,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00516678,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00541089,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00607154,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00618626,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00624976,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00679960,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00731785,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00750074,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00759699,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00871133,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00876704,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00922310,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00933153,Hypo
GSE157341,Liver Cancer,liver,Hep,cg00992417,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01002120,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01032851,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01053196,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01133779,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01181105,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01184522,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01291665,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01302201,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01311718,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01311971,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01313497,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01330448,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01382688,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01428687,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01453732,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01515741,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01607258,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01714932,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01752978,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01816336,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01817019,Hypo
GSE157341,Liver Cancer,liver,Hep,cg01981760,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02053054,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02066650,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02080909,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02097636,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02256455,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02277520,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02296145,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02301740,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02311540,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02335527,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02421172,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02481294,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02490589,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02532096,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02614683,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02675308,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02760426,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02790486,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02867102,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02893779,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02900213,Hypo
GSE157341,Liver Cancer,liver,Hep,cg02984430,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03065459,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03078339,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03093897,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03132806,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03180953,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03231735,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03238075,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03307958,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03324815,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03330762,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03347632,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03347934,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03400107,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03404339,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03455250,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03459811,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03513363,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03572859,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03730249,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03760191,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03771183,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03803102,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03823468,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03928961,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03948236,Hypo
GSE157341,Liver Cancer,liver,Hep,cg03950599,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04122601,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04153135,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04177945,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04189838,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04194054,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04215703,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04281069,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04290779,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04470085,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04489012,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04612488,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04670451,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04803944,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04835297,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04837616,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04930463,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04949489,Hypo
GSE157341,Liver Cancer,liver,Hep,cg04984818,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05091260,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05162306,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05163177,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05207620,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05229802,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05253577,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05337743,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05381729,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05391318,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05479174,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05534060,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05575777,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05618595,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05623562,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05647756,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05660160,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05914242,Hypo
GSE157341,Liver Cancer,liver,Hep,cg05985447,Hypo
GSE157341,Liver Cancer,liver,Hep,cg06035600,Hypo
GSE157341,Liver Cancer,liver,Hep,cg06124883,Hypo
GSE157341,Liver Cancer,liver,Hep,cg06165342,Hypo
GSE157341,Liver Cancer,liver,Hep,cg06241101,Hypo
GSE157341,Liver Cancer,liver,Hep,cg06419959,Hypo
